breed,disease,food,ingredients
Affenpinscher,Cataracts,Beef & Chickpeas Stew,"Beef, Chickpeas"
Affenpinscher,Cataracts,Beef & Sweet potato Chickpeas Stew,"Beef, Sweet potato, Chickpeas"
Affenpinscher,Cataracts,Bright Eyes Egg yolk Bowl,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry"
Affenpinscher,Cataracts,Clear Sight Sardine Dinner,"Sardine, Pumpkin, Kale, Spinach, Blueberry"
Affenpinscher,Cataracts,Egg yolk & Kale Bowl with Blueberries,"Egg yolk, Kale, Blueberries"
Affenpinscher,Cataracts,Egg yolk & Kale Chickpeas Stew,"Egg yolk, Kale, Chickpeas"
Affenpinscher,Cataracts,Egg yolk & Spinach Chickpeas Stew,"Egg yolk, Spinach, Chickpeas"
Affenpinscher,Cataracts,Eye Protect Herring Plate,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry"
Affenpinscher,Cataracts,Herring & Bell pepper Chickpeas Stew,"Herring, Bell pepper, Chickpeas"
Affenpinscher,Cataracts,Herring & Corn Chickpeas Stew,"Herring, Corn, Chickpeas"
Affenpinscher,Cataracts,Mackerel & Broccoli Chickpeas Stew,"Mackerel, Broccoli, Chickpeas"
Affenpinscher,Cataracts,Mackerel & Peas Chickpeas Stew,"Mackerel, Peas, Chickpeas"
Affenpinscher,Cataracts,Oysters & Bell pepper Chickpeas Stew,"Oysters, Bell pepper, Chickpeas"
Affenpinscher,Cataracts,Oysters & Corn Chickpeas Stew,"Oysters, Corn, Chickpeas"
Affenpinscher,Cataracts,Retina Guard Beef Mix,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds"
Affenpinscher,Cataracts,Salmon & Kale Chickpeas Stew,"Salmon, Kale, Chickpeas"
Affenpinscher,Cataracts,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
Affenpinscher,Cataracts,Sardines & Broccoli Chickpeas Stew,"Sardines, Broccoli, Chickpeas"
Affenpinscher,Cataracts,Sardines & Peas Chickpeas Stew,"Sardines, Peas, Chickpeas"
Affenpinscher,Cataracts,Vision Shield Salmon Stew,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds"
Affenpinscher,Hip dysplasia,Beef trachea & Bell pepper Brown Rice Bowl,"Beef trachea, Bell pepper, Brown rice"
Affenpinscher,Hip dysplasia,Beef trachea & Bell pepper Oat Porridge,"Beef trachea, Bell pepper, Oats"
Affenpinscher,Hip dysplasia,Bone broth & Spinach Brown Rice Bowl,"Bone broth, Spinach, Brown rice"
Affenpinscher,Hip dysplasia,Bone broth & Spinach Oat Porridge,"Bone broth, Spinach, Oats"
Affenpinscher,Hip dysplasia,Cartilage Care Salmon Dinner,"Salmon, Oats, Bell pepper, Broccoli, Blueberry"
Affenpinscher,Hip dysplasia,Chicken feet & Broccoli Brown Rice Bowl,"Chicken feet, Broccoli, Brown rice"
Affenpinscher,Hip dysplasia,Chicken feet & Broccoli Oat Porridge,"Chicken feet, Broccoli, Oats"
Affenpinscher,Hip dysplasia,Chicken sternum cartilage & Asparagus Brown Rice Bowl,"Chicken sternum cartilage, Asparagus, Brown rice"
Affenpinscher,Hip dysplasia,Chicken sternum cartilage & Asparagus Oat Porridge,"Chicken sternum cartilage, Asparagus, Oats"
