disease,combination,food_name
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Beef heart, Sweet potato, Spinach, Blueberry",Heart Guard Beef heart Bowl
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Chicken heart, Brown rice, Spinach, Pumpkin seeds",Cardio Shield Chicken heart Stew
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Salmon, Oats, Spinach, Blueberry",Strong Heart Salmon Dinner
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Sardine, Sweet potato, Spinach, Pumpkin seeds",Taurine Boost Sardine Mix
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Tuna, Brown rice, Spinach, Blueberry",Heart Health Tuna Plate
Atopy,"Salmon, Sweet potato, Broccoli, Chickpeas, Blueberry",Skin Glow Salmon Bowl
Atopy,"Sardine, Oat, Chickpeas, Kale, Flaxseed",Coat Shine Sardine Stew
Atopy,"Egg yolk, Pumpkin, Kale, Spinach, Blueberries",Derma Care Egg yolk Dinner
Atopy,"Egg (whole), Sweet potato, Spinach, Broccoli, Flaxseed oil",Itch Relief Egg Mix
Atopy,"Beef, Oat, Broccoli, Chickpeas, Apples (no seeds)",Fur Renewal Beef Plate
Atrial septal defect (ASD),"Beef heart, Banana, Broccoli, Spinach, Flaxseed",Heart Guard Beef heart Bowl #1
Atrial septal defect (ASD),"Chicken heart, Banana, Spinach, Broccoli, Pumpkin seeds",Cardio Shield Chicken heart Stew #2
Atrial septal defect (ASD),"Salmon, Banana, Broccoli, Spinach, Flaxseed",Strong Heart Salmon Dinner #3
Atrial septal defect (ASD),"Sardine, Banana, Spinach, Broccoli, Pumpkin seeds",Taurine Boost Sardine Mix #4
Atrial septal defect (ASD),"Mackerel, Banana, Broccoli, Spinach, Flaxseed",Heart Health Mackerel Plate
Bullous pemphigoid,"Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Skin Glow Salmon Bowl #1
Bullous pemphigoid,"Egg (whole), Sweet potato, Spinach, Broccoli, Pumpkin seeds",Coat Shine Egg Stew
Bullous pemphigoid,"Beef, Sweet potato, Broccoli, Spinach, Blueberry",Derma Care Beef Dinner
Bullous pemphigoid,"Beef liver, Sweet potato, Spinach, Broccoli, Flaxseed",Itch Relief Beef liver Mix
Bullous pemphigoid,"Chicken, Sweet potato, Broccoli, Spinach, Blueberry",Fur Renewal Chicken Plate
Canine cyclic hematopoiesis,"Beef, Sweet potato, Broccoli, Kidney Beans, Pumpkin seeds",Skin Glow Beef Bowl
Canine cyclic hematopoiesis,"Beef liver, Sweet potato, Kidney Beans, Spinach, Sunflower seeds",Coat Shine Beef liver Stew
Canine cyclic hematopoiesis,"Chicken Liver, Sweet potato, Spinach, Asparagus, Pumpkin seeds",Derma Care Chicken Liver Dinner
Canine cyclic hematopoiesis,"Egg (whole), Sweet potato, Asparagus, Broccoli, Sunflower seeds",Itch Relief Egg Mix #4
Canine cyclic hematopoiesis,"Sardine, Sweet potato, Broccoli, Kidney Beans, Pumpkin seeds",Fur Renewal Sardine Plate
Cataracts,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Egg yolk Bowl
Cataracts,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds",Vision Shield Salmon Stew
Cataracts,"Sardine, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Sardine Dinner
Cataracts,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds",Retina Guard Beef Mix
Cataracts,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry",Eye Protect Herring Plate
Cerebellar abiotrophy(ataxia),"Sardine, Sweet potato, Spinach, Blueberry",Brain Boost Sardine Bowl
Cerebellar abiotrophy(ataxia),"Beef liver, Sweet potato, Spinach, Sunflower seeds",Neuro Shield Beef liver Stew
Cerebellar abiotrophy(ataxia),"Salmon, Sweet potato, Spinach, Blueberry",Calm Mind Salmon Dinner
Cerebellar abiotrophy(ataxia),"Egg (whole), Sweet potato, Spinach, Pumpkin seeds",Nerve Care Egg Mix
Cerebellar abiotrophy(ataxia),"Mackerel, Sweet potato, Spinach, Blueberry",Seizure Shield Mackerel Plate
Cerebellar hypoplasia,"Beef liver, Sweet potato, Spinach, Broccoli, Cod liver oil",Brain Boost Beef liver Bowl
Cerebellar hypoplasia,"Salmon, Pumpkin, Broccoli, Asparagus, Sunflower seeds",Neuro Shield Salmon Stew
Cerebellar hypoplasia,"Sardine, Sweet potato, Asparagus, Spinach, Cod liver oil",Calm Mind Sardine Dinner
Cerebellar hypoplasia,"Chicken Liver, Pumpkin, Spinach, Broccoli, Sunflower seeds",Nerve Care Chicken Liver Mix
Cerebellar hypoplasia,"Egg yolk, Sweet potato, Broccoli, Asparagus, Cod liver oil",Seizure Shield Egg yolk Plate
Cervical vertebral instability (Wobbler syndrome),"Salmon, Sweet potato, Spinach, Kale, Bone broth",Joint Shield Salmon Bowl
Cervical vertebral instability (Wobbler syndrome),"Sardine, Brown rice, Kale, Spinach, Flaxseed",Flex & Move Sardine Stew
Cervical vertebral instability (Wobbler syndrome),"Chicken feet, Sweet potato, Spinach, Kale, Pumpkin seeds",Cartilage Care Chicken feet Dinner
Cervical vertebral instability (Wobbler syndrome),"Egg (whole), Brown rice, Kale, Spinach, Cod liver oil",Strong Bones Egg Mix
Cervical vertebral instability (Wobbler syndrome),"Chicken breast, Sweet potato, Spinach, Kale, Bone broth",Joint Support Chicken breast Plate
Chiari-like malformation (CM) and syringomyelia (SM),"Beef liver, Sweet potato, Spinach, Blueberry",Wellness Beef liver Bowl
Chiari-like malformation (CM) and syringomyelia (SM),"Egg (whole), Brown rice, Spinach, Pumpkin seeds",Nourish Egg Stew
Chiari-like malformation (CM) and syringomyelia (SM),"Salmon, Oats, Spinach, Blueberry",Vitality Salmon Dinner
Chiari-like malformation (CM) and syringomyelia (SM),"Sardine, Sweet potato, Spinach, Sunflower seeds",Health Guard Sardine Mix
Chiari-like malformation (CM) and syringomyelia (SM),"Mackerel, Brown rice, Spinach, Blueberry",Care Blend Mackerel Plate
Chronic hepatitis,"Chicken breast, Sweet potato, Broccoli, Zucchini, Blueberry",Liver Love Chicken breast Bowl
Chronic hepatitis,"White Fish, Pumpkin, Zucchini, Bell pepper, Sunflower seeds",Hepato Guard White Fish Stew
Chronic hepatitis,"Cottage cheese, Rice, Bell pepper, Chickpeas, Blueberry",Gentle Liver Cottage cheese Dinner
Chronic hepatitis,"Egg white, White rice, Chickpeas, Kale, Pumpkin seeds",Liver Shield Egg white Mix
Chronic hepatitis,"Egg White, Sweet potato, Kale, Spinach, Blueberry",Liver Love Egg White Bowl
Cleft lip/palate,"Beef liver, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Wellness Beef liver Bowl #1
Cleft lip/palate,"Sardine, Pumpkin, Spinach, Asparagus, Pumpkin seeds",Nourish Sardine Stew
Cleft lip/palate,"Chicken Liver, Sweet potato, Asparagus, Carrot, Pumpkin seeds",Vitality Chicken Liver Dinner
Cleft lip/palate,"Egg (whole), Pumpkin, Carrot, Broccoli, Pumpkin seeds",Health Guard Egg Mix
Cleft lip/palate,"Beef, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Care Blend Beef Plate
Coagulation (bleeding) disorders,"Beef liver, Pumpkin, Broccoli, Kale",Blood Builder Beef liver Bowl
Coagulation (bleeding) disorders,"Egg (whole), Sweet potato, Kale, Parsley",Iron Boost Egg Stew
Coagulation (bleeding) disorders,"Salmon, Pumpkin, Parsley, Spinach",Vital Blood Salmon Dinner
Coagulation (bleeding) disorders,"Lean beef, Sweet potato, Spinach, Bell pepper",Blood Builder Lean beef Bowl
Coagulation (bleeding) disorders,"Sardines with bones, Pumpkin, Bell pepper, Broccoli",Iron Boost Sardines with bones Stew
Collie eye anomaly (CEA),"Salmon, Pumpkin, Carrot, Broccoli, Blueberry",Bright Eyes Salmon Bowl
Collie eye anomaly (CEA),"Sardine, Sweet potato, Broccoli, Kale, Pumpkin seeds",Vision Shield Sardine Stew
Collie eye anomaly (CEA),"Egg yolk, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Egg yolk Dinner
Collie eye anomaly (CEA),"Beef, Sweet potato, Spinach, Peas, Cod liver oil",Retina Guard Beef Mix #4
Collie eye anomaly (CEA),"Beef liver, Pumpkin, Peas, Carrot, Blueberry",Eye Protect Beef liver Plate
Complement deficiency,"Egg (whole), Sweet potato, Broccoli, Spinach, Blueberry",Wellness Egg Bowl
Complement deficiency,"Salmon, Sweet potato, Spinach, Bell pepper, Pumpkin seeds",Nourish Salmon Stew
Complement deficiency,"Sardine, Sweet potato, Bell pepper, Chickpeas, Blueberry",Vitality Sardine Dinner
Complement deficiency,"Yogurt, Sweet potato, Chickpeas, Kale, Pumpkin seeds",Health Guard Yogurt Mix
Complement deficiency,"Beef, Sweet potato, Kale, Broccoli, Blueberry",Care Blend Beef Plate #5
Corneal dystrophy,"Egg yolk, Sweet potato, Spinach, Carrot, Blueberry",Bright Eyes Egg yolk Bowl #1
Corneal dystrophy,"Salmon, Pumpkin, Carrot, Kale, Sunflower seeds",Vision Shield Salmon Stew #2
Corneal dystrophy,"Sardine, Sweet potato, Kale, Broccoli, Blueberry",Clear Sight Sardine Dinner #3
Corneal dystrophy,"Egg (whole), Pumpkin, Broccoli, Spinach, Sunflower seeds",Retina Guard Egg Mix
Corneal dystrophy,"Beef, Sweet potato, Spinach, Carrot, Blueberry",Eye Protect Beef Plate
"Craniomandibular osteopathy (""lion jaw"")","Egg (whole), Sweet potato, Broccoli, Spinach, Bone broth",Joint Shield Egg Bowl
"Craniomandibular osteopathy (""lion jaw"")","Salmon, Sweet potato, Spinach, Kale, Pumpkin seeds",Flex & Move Salmon Stew
"Craniomandibular osteopathy (""lion jaw"")","Sardine, Sweet potato, Kale, Bell pepper, Cod liver oil",Cartilage Care Sardine Dinner
"Craniomandibular osteopathy (""lion jaw"")","Beef liver, Sweet potato, Bell pepper, Broccoli, Bone broth",Strong Bones Beef liver Mix
"Craniomandibular osteopathy (""lion jaw"")","Chicken feet, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Joint Support Chicken feet Plate
