disease,combination,food_name
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),"Chicken Heart, Beef Heart, Salmon, Pumpkin Seeds, Sunflower Seeds",Cardiac Support Bowl
Atopy,"Salmon, Sunflower Seeds, Pumpkin Seeds, Egg, Blueberry",Skin & Coat Repair Bowl
Atrial septal defect (ASD),"Chicken Heart, Beef Heart, Pumpkin Seeds, Salmon, Chicken Liver, Spinach",Cardiac Support Bowl
Bullous pemphigoid,"Sunflower Seeds, Salmon, Pumpkin Seeds, Broccoli, Sardine, Sweet Potato",Skin & Coat Repair Bowl
Canine cyclic hematopoiesis,"Beef Liver, Spinach, Broccoli, Pumpkin Seeds",Immune Boost Bowl
Cataracts,"Broccoli, Sunflower Seeds, Kale, Spinach, Salmon, Carrot, Pumpkin Seeds",Eye Health Bowl
Cerebellar abiotrophy(ataxia),"Sunflower Seeds, Beef Heart, Salmon, Chicken Liver, Pumpkin Seeds, Blueberry",Neuro Support Bowl
Cerebellar hypoplasia,"Spinach, Beef Liver, Sardine, Egg Yolk, Pumpkin Seeds",Neuro Support Bowl
Cervical vertebral instability (Wobbler syndrome),"Chicken Feet, Salmon, Bone Broth, Egg Yolk, Pumpkin Seeds",Joint & Bone Support Stew
Chiari-like malformation (CM) and syringomyelia (SM),"Salmon, Pumpkin Seeds, Beef Liver, Beef Heart, Blueberry",Neuro Support Bowl
Chronic hepatitis,"Chicken Breast, Sunflower Seeds, Pumpkin Seeds, Egg, Sweet Potato",Digestive Care Stew
Cleft lip/palate,"Spinach, Pumpkin Seeds, Chicken Liver, Broccoli, Beef Liver, Egg",Wellness Bowl
Coagulation (bleeding) disorders,"Kale, Broccoli, Beef Liver, Spinach, Bone Broth, Blueberry",Blood Support Bowl
Collie eye anomaly (CEA),"Kale, Spinach, Broccoli, Sunflower Seeds, Pumpkin Seeds, Sardine",Eye Health Bowl
Complement deficiency,"Pumpkin Seeds, Broccoli, Egg Yolk, Salmon, Sardine, Yogurt",Immune Boost Bowl
