name_en,name_ko
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),부정맥성 우심실 심근병증 (ARVC)
Atopy,아토피
Atrial septal defect (ASD),심방중격결손 (ASD)
Cataracts,백내장
Cerebellar abiotrophy(ataxia),소뇌 위축증 (운동실조)
Cerebellar hypoplasia,소뇌 형성부전
Cervical vertebral instability (Wobbler syndrome),경추 불안정증 (워블러 증후군)
"Chiari-like malformation (CM) and syringomyelia (SM)",키아리 유사 기형 및 척수공동증
Chronic hepatitis,만성 간염
Cleft lip/palate,구순구개열
Coagulation (bleeding) disorders,혈액응고 장애
Collie eye anomaly (CEA),콜리 안구 이상 (CEA)
Complement deficiency,보체 결핍증
Corneal dystrophy,각막 이영양증
Cutaneous asthenia (Ehlers-Danlos syndrome),피부 무력증 (엘러스-단로스 증후군)
Cyclic hematopoiesis,주기성 조혈 장애
Dalmatian bronzing syndrome,달마시안 브론징 증후군
Deafness,청각 장애
Degenerative myelopathy,퇴행성 척수병증
Demodicosis/ Demodectic mange,모낭충증
Dermatomyositis and ulcerative dermatosis,피부근염 및 궤양성 피부증
Dermoids,유피종
Diabetes mellitus,당뇨병
Dilated cardiomyopathy,확장성 심근병증
Disorders of sexual development - sexual reversal,성발달 장애
Ectropion,안검외반증
Elbow dysplasia - OCD of the elbow,팔꿈치 이형성증
Entropion,안검내반증
Exocrine pancreatic insufficiency,외분비 췌장기능부전
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos)",노출성 각막병증 (안구돌출)
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",노출성 각막병증 (안구돌출)
Familial kidney disease,가족성 신장 질환
Fanconi syndrome,판코니 증후군
Fold dermatitis/pyoderma,주름 피부염/농피증
Follicular dysplasias,모낭 이형성증
Gastric dilatation-volvulus,위확장-꼬임 (GDV)
German shepherd pyoderma,저먼 셰퍼드 농피증
Glaucoma,녹내장
Globoid cell leukodystrophy (galactocerebrosidosis),글로보이드 세포 백질이영양증
Gluten-sensitive enteropathy,글루텐 민감성 장병증
"Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis",성장호르몬 반응성 피부증
Hemivertebra,반추체
Hemophilia,혈우병
